,pic,time_spend,compact_rate,MSE
51,airplane51.tif,0.4336581230163574,0.0623,31.5404
52,airplane52.tif,0.42701029777526855,0.0589,34.3909
53,airplane53.tif,0.5180695056915283,0.0634,46.4619
54,airplane54.tif,0.4955153465270996,0.059,38.2147
55,airplane55.tif,0.4891505241394043,0.0,44.081
56,airplane56.tif,0.45815157890319824,0.0548,27.0803
57,airplane57.tif,0.4717979431152344,0.0552,30.2609
58,airplane58.tif,0.4039185047149658,0.0514,22.2459
59,airplane59.tif,0.4737708568572998,0.0,41.2459
60,airplane60.tif,0.47351694107055664,0.0603,35.1277
61,airplane61.tif,0.5090920925140381,0.0614,29.6794
62,airplane62.tif,0.4811675548553467,0.0628,37.7054
63,airplane63.tif,0.43341636657714844,0.0634,41.4381
64,airplane64.tif,0.43738675117492676,0.0629,41.3715
65,airplane65.tif,0.48488903045654297,0.0642,40.8258
66,airplane66.tif,0.651120662689209,0.0633,36.454
67,airplane67.tif,0.4479377269744873,0.067,45.8179
68,airplane68.tif,0.48471593856811523,0.0637,36.2921
69,airplane69.tif,0.48090529441833496,0.0621,39.7661
70,airplane70.tif,0.49770331382751465,0.0618,38.8481
71,airplane71.tif,0.45527148246765137,0.0625,43.5794
72,airplane72.tif,0.42316722869873047,0.0519,39.785
73,airplane73.tif,0.503347635269165,0.0552,20.2136
74,airplane74.tif,0.5734074115753174,0.0565,19.9693
75,airplane75.tif,0.4931764602661133,0.0559,19.6573
76,airplane76.tif,0.5378546714782715,0.0,20.9438
77,airplane77.tif,0.5005946159362793,0.0546,17.2549
78,airplane78.tif,0.4580833911895752,0.055,17.2758
79,airplane79.tif,0.4719061851501465,0.0521,19.704
80,airplane80.tif,0.5687515735626221,0.0479,13.1965
81,airplane81.tif,0.5198853015899658,0.0555,19.3276
82,airplane82.tif,0.5005104541778564,0.0542,19.8066
83,airplane83.tif,0.4411802291870117,0.0556,47.8201
84,airplane84.tif,0.549201250076294,0.0541,17.5063
85,airplane85.tif,0.4532186985015869,0.0529,16.1462
86,airplane86.tif,0.45239806175231934,0.054,21.8743
87,airplane87.tif,0.46637821197509766,0.0649,32.3447
88,airplane88.tif,0.3725864887237549,0.0548,19.9003
89,airplane89.tif,0.45233774185180664,0.0502,14.8143
90,airplane90.tif,0.49509263038635254,0.0582,23.0914
91,airplane91.tif,0.5047504901885986,0.0536,18.563
92,airplane92.tif,0.5216505527496338,0.0474,9.9286
93,airplane93.tif,0.4713292121887207,0.0483,10.9691
94,airplane94.tif,0.42078304290771484,0.049,10.7904
95,airplane95.tif,0.46047544479370117,0.051,12.246
96,airplane96.tif,0.4656078815460205,0.0591,20.676
97,airplane97.tif,0.42830705642700195,0.059,19.179
98,airplane98.tif,0.45499515533447266,0.0544,15.0112
99,airplane99.tif,0.4453446865081787,0.0599,27.3378
