,pic,time_spend,compact_rate,MSE
51,airplane51.tif,0.011286497116088867,0.0623,82.8881
52,airplane52.tif,0.013090372085571289,0.0589,96.1024
53,airplane53.tif,0.013540506362915039,0.0634,108.6833
54,airplane54.tif,0.014832496643066406,0.059,93.5353
55,airplane55.tif,0.013125419616699219,0.0,98.643
56,airplane56.tif,0.014655828475952148,0.0548,99.8705
57,airplane57.tif,0.012280702590942383,0.0552,115.1573
58,airplane58.tif,0.012892961502075195,0.0514,89.1126
59,airplane59.tif,0.016175508499145508,0.0,100.9689
60,airplane60.tif,0.024093151092529297,0.0603,100.3328
61,airplane61.tif,0.01695561408996582,0.0614,99.6471
62,airplane62.tif,0.019854068756103516,0.0628,99.2145
63,airplane63.tif,0.01524043083190918,0.0634,104.7726
64,airplane64.tif,0.015921592712402344,0.0629,106.0767
65,airplane65.tif,0.015565872192382812,0.0642,104.8591
66,airplane66.tif,0.015980005264282227,0.0633,93.7598
67,airplane67.tif,0.012938976287841797,0.067,98.2666
68,airplane68.tif,0.016349077224731445,0.0637,92.2826
69,airplane69.tif,0.016814708709716797,0.0621,99.4663
70,airplane70.tif,0.015933752059936523,0.0618,99.4755
71,airplane71.tif,0.01598191261291504,0.0625,97.8734
72,airplane72.tif,0.015459537506103516,0.0519,110.3927
73,airplane73.tif,0.015384435653686523,0.0552,69.5964
74,airplane74.tif,0.015250921249389648,0.0565,65.7843
75,airplane75.tif,0.015824556350708008,0.0559,60.6633
76,airplane76.tif,0.013840198516845703,0.0,60.3705
77,airplane77.tif,0.014086008071899414,0.0546,89.8274
78,airplane78.tif,0.02170848846435547,0.055,71.4171
79,airplane79.tif,0.015602350234985352,0.0521,62.3158
80,airplane80.tif,0.015337705612182617,0.0479,30.8281
81,airplane81.tif,0.013312816619873047,0.0555,78.1503
82,airplane82.tif,0.013012886047363281,0.0542,85.6769
83,airplane83.tif,0.014421939849853516,0.0556,109.1555
84,airplane84.tif,0.020436525344848633,0.0541,54.582
85,airplane85.tif,0.015866994857788086,0.0529,60.9439
86,airplane86.tif,0.014914274215698242,0.054,101.1493
87,airplane87.tif,0.013335943222045898,0.0649,95.6499
88,airplane88.tif,0.016360044479370117,0.0548,91.3831
89,airplane89.tif,0.013769149780273438,0.0502,104.0403
90,airplane90.tif,0.016691923141479492,0.0582,76.5727
91,airplane91.tif,0.014063358306884766,0.0536,91.209
92,airplane92.tif,0.013724088668823242,0.0474,41.0779
93,airplane93.tif,0.012802600860595703,0.0483,71.677
94,airplane94.tif,0.01420450210571289,0.049,47.6604
